timestamp, frame, x, y, z, qx, qy, qz, qw
465189.95683675, 000165, -4.254494, 0.8044675, -0.8677317, -0.041196197, 0.13241197, -0.99033827, 2.9025474e-05
465189.990183833, 000166, -4.259739, 0.8037546, -0.8611119, -0.047136363, 0.13220023, -0.9901016, -0.00040244832
465190.023530875, 000167, -4.2637553, 0.80280155, -0.8546962, -0.052521933, 0.13222577, -0.9898265, -0.0011171468
465190.056877958, 000168, -4.26737, 0.80172575, -0.8480798, -0.058546368, 0.13269342, -0.9894256, -0.0012841235
465190.090225083, 000169, -4.271472, 0.8010564, -0.84137124, -0.06507857, 0.13376701, -0.9888731, -0.0009486509
465190.123572166, 000170, -4.2747808, 0.7999111, -0.8337683, -0.07073704, 0.13494495, -0.98832464, -0.00064962864
465190.156919291, 000171, -4.2778573, 0.7986335, -0.8252823, -0.07472271, 0.13553242, -0.9879508, -0.000779685
465190.190266291, 000172, -4.281564, 0.7973454, -0.8144182, -0.07689754, 0.13582388, -0.98774236, -0.0019331105
465190.223613458, 000173, -4.284819, 0.7958725, -0.80385643, -0.079477474, 0.13625665, -0.98747545, -0.0030977607
465190.2569605, 000174, -4.2879868, 0.794402, -0.7930035, -0.08319573, 0.13754907, -0.9869868, -0.00395621
465190.290307583, 000175, -4.292765, 0.7924474, -0.7799785, -0.08733039, 0.13938536, -0.98636866, -0.0046939147
465190.323654708, 000176, -4.2963176, 0.7912735, -0.76785505, -0.09116306, 0.14070362, -0.9858317, -0.0052587367
465190.35700175, 000177, -4.2995067, 0.79058367, -0.75577176, -0.0936661, 0.14045244, -0.98562616, -0.0063863215
465190.390348833, 000178, -4.303606, 0.7901741, -0.7425305, -0.09585644, 0.13996352, -0.9854743, -0.00788541
465190.423695916, 000179, -4.3070736, 0.7902991, -0.73029625, -0.098575465, 0.13862622, -0.9853829, -0.009283663
465190.457042958, 000180, -4.310468, 0.7908396, -0.7179964, -0.100868985, 0.13710894, -0.98535174, -0.010416113
465190.490390125, 000181, -4.3148403, 0.7916351, -0.70493674, -0.102793396, 0.13635695, -0.98523855, -0.012051973
465190.523737125, 000182, -4.318608, 0.7924298, -0.69218534, -0.10560444, 0.13615581, -0.9849472, -0.013722304
465190.557084208, 000183, -4.322224, 0.7932788, -0.67977923, -0.10968141, 0.13509054, -0.9846232, -0.015421485
465190.590431416, 000184, -4.3271713, 0.7941229, -0.668058, -0.115858644, 0.13487585, -0.9839018, -0.017958151
465190.623778416, 000185, -4.3311224, 0.7949176, -0.6564057, -0.12260705, 0.1336371, -0.98320615, -0.02035216
465190.657125625, 000186, -4.3341928, 0.79572695, -0.64457285, -0.12852107, 0.13247618, -0.9825807, -0.021621287
465190.690472583, 000187, -4.3377275, 0.79723775, -0.6330531, -0.13363472, 0.1316911, -0.9820047, -0.021584583
465190.72381975, 000188, -4.3403144, 0.79766303, -0.6211592, -0.13815872, 0.13214715, -0.9813378, -0.020625558
465190.757166791, 000189, -4.3424187, 0.7974943, -0.60912025, -0.1424001, 0.13419756, -0.98046905, -0.019840283
465190.790513833, 000190, -4.3447046, 0.79770964, -0.59751433, -0.1472486, 0.13688667, -0.9793968, -0.019020775
465190.823861, 000191, -4.346648, 0.7975764, -0.58589065, -0.15259983, 0.13979289, -0.97817874, -0.018373318
465190.857208041, 000192, -4.34855, 0.7976795, -0.5742553, -0.15700424, 0.14185733, -0.9771847, -0.018330622
465190.890555083, 000193, -4.3505344, 0.79807043, -0.5626218, -0.16095728, 0.14210267, -0.97649574, -0.018856546
465190.92390225, 000194, -4.352327, 0.7985471, -0.5513979, -0.16460718, 0.14159235, -0.97593373, -0.020228948
465190.95724925, 000195, -4.3540387, 0.7990199, -0.5404913, -0.1689907, 0.13975513, -0.97542983, -0.021148212
465190.990596375, 000196, -4.3550878, 0.7988701, -0.5286109, -0.17467679, 0.13865922, -0.9745759, -0.021528069
465191.023943458, 000197, -4.35637, 0.7986822, -0.5172707, -0.180193, 0.13875127, -0.9735503, -0.021867499
465191.0572905, 000198, -4.3575783, 0.79836184, -0.5060751, -0.18548134, 0.13894336, -0.9725349, -0.02161395
